Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,48.625000,49.625000,48.562500,48.562500,28.874043,2114800
2000-01-19,48.875000,49.968750,48.875000,49.406250,29.375710,2628200
2000-01-20,49.531250,49.687500,47.250000,47.562500,28.279467,3104600
2000-01-21,47.625000,48.281250,47.281250,47.468750,28.223728,4491800
2000-01-24,47.906250,47.906250,45.812500,46.375000,27.573416,2971000
2000-01-25,47.437500,47.437500,45.125000,45.687500,27.164639,3691200
2000-01-26,47.937500,48.750000,47.656250,48.156250,28.632507,7020800
2000-01-27,48.593750,49.156250,48.031250,48.125000,28.613926,2914800
2000-01-28,47.875000,47.906250,46.125000,46.125000,27.424778,3747400
2000-01-31,46.125000,48.687500,46.031250,46.812500,27.833538,3282800
2000-02-01,47.187500,48.093750,46.875000,47.062500,27.982176,2642200
2000-02-02,46.593750,47.000000,46.000000,46.250000,27.499094,2924200
2000-02-03,45.968750,46.062500,45.000000,45.843750,27.257536,3520600
2000-02-04,45.968750,46.218750,44.531250,44.531250,26.477161,3293400
2000-02-07,44.625000,44.687500,43.312500,43.812500,26.049801,3935400
2000-02-08,43.812500,45.093750,43.718750,43.843750,26.068398,2884000
2000-02-09,44.312500,44.500000,43.750000,43.812500,26.049801,2600400
2000-02-10,43.625000,43.625000,42.656250,43.000000,25.566725,4020000
2000-02-11,42.687500,43.250000,40.656250,41.468750,24.656275,4491600
2000-02-14,41.625000,42.375000,41.187500,41.437500,24.637690,3356400
2000-02-15,41.875000,45.281250,41.750000,44.562500,26.495750,3736000
2000-02-16,44.187500,45.187500,43.781250,44.156250,26.254208,2581800
2000-02-17,44.500000,45.937500,44.468750,44.812500,26.644381,3405400
2000-02-18,44.937500,45.343750,43.187500,43.781250,26.031225,2864200
2000-02-22,43.875000,45.218750,43.250000,45.062500,26.793030,2884600
2000-02-23,45.687500,46.968750,45.406250,46.156250,27.621092,4460800
2000-02-24,45.937500,46.062500,44.781250,45.500000,27.228384,3800200
2000-02-25,44.062500,44.656250,42.593750,42.875000,25.657534,3627200
2000-02-28,43.468750,44.437500,42.500000,43.218750,25.863218,3076600
2000-02-29,42.656250,44.593750,42.312500,44.093750,26.386852,2765400
2000-03-01,43.593750,43.875000,42.531250,43.062500,25.769716,2891600
2000-03-02,43.062500,43.875000,42.843750,43.031250,25.751030,2186000
2000-03-03,43.875000,47.312500,43.750000,44.750000,26.779566,4581000
2000-03-06,44.656250,45.625000,43.625000,43.625000,26.106339,2052600
2000-03-07,44.125000,44.437500,41.000000,41.375000,24.759880,5195600
2000-03-08,41.437500,42.125000,40.500000,41.281250,24.703789,4693200
2000-03-09,40.406250,40.968750,40.250000,40.468750,24.217556,3258200
2000-03-10,40.312500,41.343750,40.187500,40.750000,24.385857,5751600
2000-03-13,39.500000,40.250000,39.375000,39.500000,23.637833,3787800
2000-03-14,39.593750,40.000000,39.281250,39.562500,23.675238,3156600
2000-03-15,39.093750,41.875000,39.093750,41.250000,24.685072,4240000
2000-03-16,42.375000,44.625000,41.968750,44.031250,26.349445,4804800
2000-03-17,43.468750,44.593750,42.937500,42.937500,25.694910,4068200
2000-03-20,42.968750,43.906250,42.687500,43.500000,26.031540,2727600
2000-03-21,43.406250,45.750000,43.281250,45.218750,27.060078,3827600
2000-03-22,44.500000,44.687500,42.500000,43.000000,25.732315,4404800
2000-03-23,42.375000,43.625000,42.375000,43.500000,26.031540,4972000
2000-03-24,45.000000,46.625000,44.843750,45.437500,27.190998,5925000
2000-03-27,45.468750,45.968750,44.062500,44.312500,26.517750,3254200
2000-03-28,44.000000,45.281250,43.812500,44.437500,26.592546,2448000
2000-03-29,44.500000,44.500000,43.687500,43.812500,26.218538,3280800
2000-03-30,44.031250,45.875000,43.812500,44.500000,26.629953,3155800
2000-03-31,45.187500,46.000000,44.281250,44.281250,26.499056,2459200
2000-04-03,44.687500,46.187500,44.625000,45.937500,27.490189,2871400
2000-04-04,46.000000,47.781250,44.750000,46.468750,27.808115,4841000
2000-04-05,46.437500,47.406250,45.531250,45.562500,27.265787,2875800
2000-04-06,45.656250,47.437500,45.656250,46.687500,27.939020,1756400
2000-04-07,46.812500,47.562500,45.812500,45.812500,27.415400,2501200
2000-04-10,45.937500,47.437500,45.875000,46.375000,27.752010,2110600
2000-04-11,46.375000,48.531250,46.375000,47.718750,28.556139,2952200
2000-04-12,48.656250,49.156250,47.312500,47.312500,28.313032,2454600
2000-04-13,47.312500,48.187500,45.875000,47.375000,28.350443,4152200
2000-04-14,47.031250,47.156250,44.156250,45.406250,27.172295,6141600
2000-04-17,44.593750,45.281250,44.031250,44.937500,26.891773,2893600
2000-04-18,45.062500,45.062500,44.000000,44.937500,26.891773,2419200
2000-04-19,44.812500,45.937500,44.562500,45.218750,27.060078,1665200
2000-04-20,45.218750,46.156250,45.000000,46.125000,27.602409,1983800
2000-04-24,45.625000,48.812500,45.625000,48.687500,29.135870,3558200
2000-04-25,48.062500,48.156250,44.250000,46.906250,28.069923,9044200
2000-04-26,46.750000,46.750000,43.687500,44.468750,26.611259,6956600
2000-04-27,44.250000,44.937500,42.656250,43.718750,26.162437,4835200
2000-04-28,43.718750,43.781250,43.000000,43.312500,25.919323,2947000
2000-05-01,43.343750,44.281250,42.531250,43.468750,26.012829,3476400
2000-05-02,43.000000,43.781250,42.812500,43.468750,26.012829,2459200
2000-05-03,43.468750,44.125000,42.656250,42.906250,25.676214,2445200
